,,,,
,RINGKASAN & REKAPITULASI ASET DESA REJOAGUNG,,,
,Tahun 2026 — data bersumber dari sheet INVENTARISASI ASET,,,
,,,,
,TOTAL ASET TERDATA,TOTAL LUAS TANAH,JUMLAH KATEGORI,ASET BELUM VERIFIKASI
,22,"21,854 m²",4,8
,,m²,kategori,aset
,,,,
,,,,
,REKAPITULASI PER KATEGORI ASET,,,
,Kategori Aset,Jumlah Aset,Total Luas (m²),% dari Total Aset
,Olahraga,2,"10,192",9.1%
,Fasilitas Pemerintahan,1,0,4.5%
,Fasilitas Keagamaan,9,"6,291",40.9%
,Fasilitas Pendidikan,10,"5,371",45.5%
,TOTAL,22,"21,854",100.0%
,,,,
,,,,
,REKAPITULASI PER STATUS KEPEMILIKAN,,,
,Status Kepemilikan,Jumlah Aset,% dari Total,
,Hak Milik,9,40.9%,
,Hak Wakaf,4,18.2%,
,Hak Pakai,1,4.5%,
,Kosong (Belum Ada Dokumen),3,13.6%,
,Belum Terverifikasi,5,22.7%,